fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5,red
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,red
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6,red
7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,red
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,red
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,red
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,red
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,red
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,red
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7,red
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,red
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6,red
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,red
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,red
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,red
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,red
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5,red
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6,red
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7,red
8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6,red
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,red
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,red
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,red
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,red
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5,red
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,red
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,red
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5,red
8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,5,red
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,red
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,red
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6,red
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,red
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,red
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,red
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7,red
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,red
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6,red
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8,red
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,red
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5,red
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6,red
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6,red
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,red
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6,red
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,red
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6,red
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7,red
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,red
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,red
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7,red
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6,red
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,red
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5,red
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,red
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5,red
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,red
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,red
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,red
11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5,red
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6,red
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6,red
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,6,red
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,red
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6,red
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6,red
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,red
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,red
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6,red
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6,red
12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,red
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5,red
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,red
8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5,red
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,red
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,red
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6,red
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,red
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,red
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5,red
7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6,red
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,red
10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5,red
8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5,red
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6,red
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,red
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4,red
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,red
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,red
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4,red
10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6,red
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,red
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,red
9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5,red
10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5,red
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,red
9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,red
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5,red
5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,red
11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6,red
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4,red
7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5,red
8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,red
7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,red
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,red
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5,red
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,red
8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5,red
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,red
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5,red
11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5,red
8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5,red
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,red
7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,red
8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5,red
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,red
7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5,red
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5,red
7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5,red
7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5,red
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,red
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,red
8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5,red
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5,red
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,red
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6,red
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,red
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6,red
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,red
9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,red
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,red
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,red
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,red
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,red
6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5,red
7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5,red
7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6,red
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,red
7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,red
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,red
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5,red
6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6,red
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,red
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,red
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,red
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,red
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,red
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,red
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6,red
7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5,red
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,red
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6,red
6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6,red
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,red
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7,red
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6,red
10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,6,red
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5,red
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6,red
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5,red
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7,red
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7,red
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,red
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7,red
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,red
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5,red
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,red
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7,red
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,red
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,red
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,red
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7,red
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7,red
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6,red
7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6,red
7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6,red
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5,red
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,red
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,red
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7,red
5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7,red
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,red
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,red
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,red
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,red
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,red
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6,red
8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,red
7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6,red
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,red
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,red
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,red
10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,red
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,red
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,red
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,red
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,red
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,red
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,red
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,red
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,red
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,red
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,red
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,red
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,red
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,red
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,red
9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6,red
10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,red
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5,red
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,red
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4,red
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,red
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,red
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,red
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5,red
6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,red
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,red
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4,red
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,red
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,red
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,red
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7,red
8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6,red
8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,red
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,red
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,red
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,red
8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5,red
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4,red
6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,6,red
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,red
9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,red
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,red
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red
7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5,red
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,red
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,red
7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6,red
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5,red
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,red
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,red
6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6,red
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6,red
7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5,red
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6,red
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,red
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,red
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,red
8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,6,red
7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,6,red
7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8,red
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,red
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6,red
6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,red
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5,red
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4,red
7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,5,red
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6,red
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6,red
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,6,red
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5,red
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5,red
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7,red
6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6,red
